PromocionKey,PromocionCodigo,PromocionNombre,DiscountPct,CampaignType
1,SIN_PROMO,SIN_PROMO Variante 01,0.10,Temporada
2,BLACKFRIDAY,BLACKFRIDAY Variante 02,0.03,Temporada
3,CYBER,CYBER Variante 03,0.15,Liquidacion
4,LOYALTY,LOYALTY Variante 04,0.15,Precio
5,OUTLET,OUTLET Variante 05,0.12,Temporada
6,TEMPORADA,TEMPORADA Variante 06,0.08,Precio
7,BLACKFRIDAY,BLACKFRIDAY Variante 07,0.15,Precio
8,CYBER,CYBER Variante 08,0.00,Fidelizacion
9,LOYALTY,LOYALTY Variante 09,0.05,Temporada
10,OUTLET,OUTLET Variante 10,0.03,Temporada
11,TEMPORADA,TEMPORADA Variante 11,0.03,Precio
12,SIN_PROMO,SIN_PROMO Variante 12,0.10,Fidelizacion
13,SIN_PROMO,SIN_PROMO Variante 13,0.10,Precio
14,BLACKFRIDAY,BLACKFRIDAY Variante 14,0.05,Temporada
15,CYBER,CYBER Variante 15,0.00,Precio
16,LOYALTY,LOYALTY Variante 16,0.05,Precio
17,OUTLET,OUTLET Variante 17,0.05,Precio
18,TEMPORADA,TEMPORADA Variante 18,0.10,Fidelizacion
19,BLACKFRIDAY,BLACKFRIDAY Variante 19,0.05,Fidelizacion
20,CYBER,CYBER Variante 20,0.08,Fidelizacion
21,LOYALTY,LOYALTY Variante 21,0.05,Temporada
22,OUTLET,OUTLET Variante 22,0.10,Temporada
23,TEMPORADA,TEMPORADA Variante 23,0.08,Fidelizacion
24,SIN_PROMO,SIN_PROMO Variante 24,0.00,Precio
