DateKey,ImporteVentaForecast,CantidadForecast
20230101,4657799.02,6852
20230201,4712205.86,6801
20230301,5109451.99,7620
20230401,5210362.32,7483
20230501,5250183.86,7675
20230601,5218831.67,7633
20230701,5255946.04,7635
20230801,5378126.89,7900
20230901,5293937.18,7635
20231001,5763200.49,8385
20231101,5438911.04,8048
20231201,5541794.47,8096
20240101,4843387.39,7006
20240201,4760960.76,6764
20240301,5348054.13,8006
20240401,4896335.26,7352
20240501,5061287.7,7479
20240601,5300203.13,7712
20240701,5153146.86,7670
20240801,5065979.65,7593
20240901,4969453.62,7362
20241001,5319295.9,7983
20241101,5033820.06,7613
20241201,5504785.73,8035
20250101,4875860.85,7241
20250201,4541252.03,6760
20250301,5092007.51,7644
20250401,4864869.04,7203
20250501,5372240.82,7770
20250601,4869060.32,7277
20250701,5377031.15,7985
20250801,5557245.75,8150
20250901,5147072.12,7530
20251001,5315017.55,7798
20251101,5457491.43,8119
20251201,5705138.41,8398
