DateKey,ImporteVentaBudget,CantidadBudget
20230101,4907729.7,7096
20230201,4940953.71,7015
20230301,5331602.08,7828
20230401,5410760.87,7779
20230501,5559018.2,7947
20230601,5498866.54,7873
20230701,5511089.05,7844
20230801,5611958.5,8213
20230901,5497550.15,7906
20231001,6102212.28,8648
20231101,5730755.05,8269
20231201,5810813.62,8417
20240101,5053969.45,7254
20240201,4944074.64,6977
20240301,5662645.55,8226
20240401,5159065.44,7643
20240501,5306981.27,7744
20240601,5530646.74,7955
20240701,5351344.82,7881
20240801,5363978.46,7894
20240901,5236107.23,7623
20241001,5577514.15,8234
20241101,5252681.8,7821
20241201,5716508.26,8354
20250101,5162676.2,7498
20250201,4784928.97,6972
20250301,5339192.34,7854
20250401,5076385.08,7489
20250501,5578865.47,8045
20250601,5155475.63,7505
20250701,5665554.77,8204
20250801,5827014.96,8473
20250901,5370857.86,7797
20251001,5519441.31,8043
20251101,5778520.34,8341
20251201,6011267.79,8730
